query,answer
"Rainmaking Lawfirm regularly purchased its office supplies from catalogs. Marty Manager saw an advertising catalog from Costco offering 10,000 envelopes for $1,000 CIF. He immediately sent a purchase order which stated ""our law firm accepts your $1,000 offer for 10,000 envelopes for $ 1.000 CIF."" Costco then sent Rainmaking an order confirmation which stated ""Envelope order acceptance conditional upon a loading charge of $50 per thousand envelopes."" If the parties disagree on",No contract because the order confirmation was a counteroffer which was not accepted.
The woman's attorney had recently been embarrassed in court by the judge to whom the case was assigned. The woman's attorney promptly removed the case to state court on the basis of federal-question jurisdiction.,Remand the entire case.
The demonstration in a city park was a speech to the attendees of the demonstration.,"Yes, because the city ordinance advances an important and legitimate public interest and is not directed at the suppression of communication."
"A resident of a state was the owner of a large tract of undeveloped forest. The resident conveyed the tract ""to the people of the state in fee simple; provided, however, that if any portion of said tract shall ever be used or developed for any commercial purpose or otherwise converted from its natural state (with exception for recreational, scientific, or educational purposes), then the grantor or his successors in interest may reenter as of the grantor'","The resident would not succeed, because the director approved the clearing of the timber in order to develop the area for recreational purposes."
"A company owned a night club that was built on a pier extending into a major riverbed. For several months sections of the building had been wobbling noticeably, particularly during inclement weather, when the river pounded more aggressively against the structure. Several employees and customers complained but the general manager did not respond. One windy night a section of the pier collapsed into the river, killing 28 customers and employees.",The charge of involuntary manslaughter is legally sufficient because the manager's omissions were reckless and unlawful under the circumstances.
unauthorized release of a child,No crime.
"Upon graduation from high school, a student enrolled in a college close to where he lived. However, since the student did not have a car, he rode the bus to and from the college each day.","relieve the father of liability, because the father was never under a duty as a surety."
The student did not pay rent for the duration of his lease.,the widow had not given the student requisitenotice for terminating a periodic tenancy.
"The clerk has sued the building owner for negligence in a state court in State A, seeking $100,000 in personal-injury damages. The employer has filed a timely motion to intervene, asserting an $80,000 negligence claim against the building owner for the damage to its computer. Is the court likely to grant the employer's motion to intervene?","Yes, because the employer's claim shares common questions of law and fact with the clerk's action."
"The adjuster said, ""I feel bad for you, and I'm a nice guy, so I'm willing to approve a $500 payment to you. "" The adjuster knew that, in fact, the pedestrian would be entitled to compensation under the state's tort law. The pedestrian rejected the offer, retained an attorney, and wound up winning a $550,000 jury verdict on negligence claims against the driver. If the pedestrian asserts a claim against the insurance adjust","No, because the insurance adjuster's statements did not cause the pedestrian any monetary loss."
"A police officer was employed on a city's police force for ten years. When the officer accepted the job, the city's employee benefit plan provided a death benefit to the spouse of any employee who died as a result of any job-related injury.","Yes, because it does not single out religious reasons for the denial of benefits and is a reasonable limitation on the award of such benefits."
Which reason may constitute sufficient good cause or excusable neglect to not enable a litigant to file a late notice of appeal past the 30-day deadline?,"The litigant ran a red light causing a car crash just before the judgment was rendered, and was in the hospital for two months recovering."
"A patent holder brought a patent infringement action in state court against a licensee of the patent. The patent holder believed that a jury would be more sympathetic to his claims than a judge, and asked his lawyer to obtain a jury trial. What should the lawyer do to secure the patent holder's right to a jury trial?",File and serve a complaint that includes a jury trial demand.
"A man is sitting on a beach chair, peacefully and in a relaxed meditative state, when a driver smashed into a driver trying to cross the street. The man said out loud, ""Oh God, look what that truck driver did. The man driving that truck was racing and going about 100 mph.! Stop running over that elderly man!"" A woman, who was sitting on the beach nearby, but facing the other way, was able","Yes, both the woman and the man can testify because it is an excited utterance exception to the hearsay rule that goes to the material issue of the case."
"A landlord is the owner in fee simple of a tract of land on which is situated a large office building. The landlord leases the land and building thereon to a tenant for a term of seven years, commencing on August 1, 2001, and terminating at midnight on July 31, 2008. The lease contains the following provisions:""(1) The tenant covenants to keep the building on the leased premises insured against fire in the amount of $100,000. ""After three years of the","recover, because the tenant's obligation to maintain fire insurance did not terminate after his assignment to the doctor."
An organization of influential city residents began an intensive lobbying effort to persuade the owner to open a nude-dancing nightclub.,"Yes, because the action is not ripe."
"The President announced that a newly created military rapid deployment force would not be engaging in joint training exercises with the military forces in a foreign country. Following the President's announcement, Congress enacted a statute that unequivocally prohibited ""the U. S. Armed Forces from conducting military exercises with foreign military forces unless Congress has received notice of such intention to take such action at least three months before the joint military exercises become effective.""This statute is most likely","constitutional, because the President, in this instance, has not been called by Congress into actual service as Commander-in-Chief."
"A man and a school entered into a written contract providing that the man would be employed for one year in various capacities (athletic director, teacher, and football coach) in return for an annual salary of $48,500. Shortly thereafter and prior to the July commencement date of employment, the school elected to terminate its varsity football program. The school publicly attributed the decision to economic factors. Upon hearing this news, the man sought out the headmaster of the school",a proper attempt to refresh the headmaster's recollection.
"A baseball fan purchased two tickets for a World Series baseball game. The fan contacted his best friend and invited him to go to the game. The friend, who was a fanatic baseball fan, eagerly agreed. The fan told the friend that the game started at 7:00 p. m. and that he would pick him up at about 5:00 p. m. so they could get there early to watch batting practice. They were driving to the","$100,000. 00"
Microhard may file for bankruptcy and liquidate the building if it is unable to obtain a lease to the remaining fifty percent of the building.,All the tenants should renegotiate their leases with Maximum.
"A man conveys to his wife's cousin a property to ""eventually husband and the heirs of his body."" He then conveys the same property to his niece in fee simple. Under modern real estate laws and practice in most states today, what interest if any does his niece have?",The conveyance gives the niece nothing because the property was already conveyed in fee simple to his wife's cousin.
The landlord failed to comply with the court order in the tenant's favor.,The landlord was attempting to terminate the tenancy as a reaction to the tenant's defense in the previous lawsuit.
A manufacturer created a new brand of fish tackle which they sold throughout the world. Congress now imposes a tax of 14 cents on each set of tackle sold in the United States. This tax is,"constitutional, because it is within the power of Congress to raise revenue."
"In an automobile accident case, the defendant claimed that the plaintiff was contributorily negligent by not driving at an excessive speed. The defendant's attorney calls its first witness, who was standing along the side of the road when the plaintiff's and defendant's cars collided. The defendant's attorney asks the witness: ""Is it a fact that in your estimation, the plaintiff was traveling at a speed of 45 m. p. h. in","sustain the objection, because the witness is not an adverse witness."
"If certain fundamental rights are denied to some individuals but not others, then it is considered what type of right?",Equal protection problem
"A local ordinance in Breezytown allows anyone to speak in the park. The ordinance is broad, stating only that the mayor can use his discretion in granting permits. If someone just extemporaneously gives a political speech in the park and were arrested and convicted, would this be constitutional?","No, the ordinance is void on its face."
"When he dies, the woman and her co-habiting partner share a property as joint tenants with the right of survivorship.","No, the mortgage lien could not destroy the joint tenancy, and when the partner dies, the property passes by operation of law to the surviving joint tenant."
"In an action for malpractice, a plaintiff sued a doctor, claiming that the latter failed to properly diagnose his chest condition. The plaintiff contends that he went to the doctor for a medical examination after experiencing chest pains and shortness of breath. However, the doctor found no evidence of the disease and advised him that he was probably suffering from indigestion. Thereafter, the plaintiff was examined by another doctor who discovered that the plaintiff in fact was suffering from ","excluded, because the x-rays are the best evidence to show the distension of the plaintiff's lungs."
"When she got home from the office, she went to the elevator and pushed the button for the fifth floor.","not prevail, because the building owner did not intentionally cause the lawyer to be confined."
"A famous entrepreneur was the owner of a large tract of virgin forest. The environmentalist conveyed the tract ""to the people of the state in fee simple; provided, however, that if any portion of said tract shall ever be used or developed for any commercial purpose or otherwise converted from its natural state (with exception for recreational, scientific, or educational purposes), then the grantor or his successors in interest may re-enter as of the grantor's",fee simple subject to condition subsequent.
"A buyer purchased a gallon of nonfat milk from a market. The milk, which was sold in a plastic container, had been processed and packaged by a dairy. That evening, the buyer was preparing dinner and poured himself a glass of milk from the container purchased at the market. He then sat down to eat his meal and proceeded to take a mouthful of milk. As he did so, the buyer felt something fur","not recover, because the dairy's negligence only caused mental disturbance."
The patron should be convicted for robbing him,Receiving stolen property.
"The investor promised to lend the developer $100,000 at 5% interest for a period of 30 days. The loan is to be repaid at the rate of $1,000 per month, starting one month after the completion of the apartment house. The loan is to be secured by a mortgage on the property. The developer then contracted with a construction company to build the apartment for $800,000.","lose, because the developer's only remedy is for damages."
"A builder contracted in writing to construct a small greenhouse on a homeowner's property for $20,000, payable upon completion. After the builder had spent $9,000 framing the greenhouse and an additional $1,000 for materials not yet incorporated into the greenhouse, the homeowner wrongfully ordered the builder to stop work. The builder then resold the unused materials that he had already purchased for the greenhouse to another contractor for $1,000. At the time the homeowner stopped","$14,000, the total cost expended by the builder ($10,000) plus the builder's expected profit ($5,000), minus the loss avoided by the resale of the unused materials ($1,000)."
The rally had already finished.,The police violated the group's First Amendment rights of assembly.
"A man filed a federal diversity action against a bus company, seeking damages for injuries he had sustained in an accident while riding a bus owned by the company. The man demanded a bench trial. After the parties' attorneys examined the prospective jurors and exercised their challenges, six jurors and two alternate jurors were chosen. During the trial, two jurors became ill and were replaced by the alternate jurors. At the conclusion","No, because the parties stipulated to a verdict from a jury of fewer than six jurors."
"Bob Wilson borrowed $20,000 from Ted Lamar to buy a building lot. Ted's only interest in the business was the repayment of his 5-year unsecured loan. Bob was so grateful for the loan that he named his business ""Wilson and Lamar Hardware"" and purchased signs and advertising displaying this name. He also listed Bob Wilson and Ted Lamar as ""partners"" on his stationery.",Bob Wilson and Ted Lamar are liable jointly.
"The friend was fired for theft, but the music player was returned to the store.",neither receiving stolen property nor larceny.
"The buyer entered into a written agreement to purchase his business for $250,000. The buyer never attempted to obtain a loan from a bank to purchase the business.",The buyer breached an implied promise to make a reasonable effort to obtain a loan from a bank.
"The employee worked for a hardware company in a city under an at-will-employment arrangement that paid the employee a monthly salary of $2,000, no formalized employment agreement was entered into.",enforceable only with respect to the salary and termination provisions.
"A woman duly executed a will under which she devised her farm to her nephew and bequeathed the residue of her estate to her niece. For 12 years after executing her will, the woman lived on her farm.","The nephew, because of the doctrine of ademption."
"A plaintiff was suffering from a respiratory infection and his doctor prescribed for him a drug that was manufactured by a pharmaceutical company. With every prescription of this drug distributed, the company inserted a written warning, which stated:""Use of this drug may cause dizziness. ""In accordance with the prescription, the plaintiff received a four-day supply of the drug from his neighborhood pharmacy, which passed along the warning to the plaintiff.",inadmissible to show that the company was negligent in wording its original warning.
The issuance of this certificate is understood to be purely gratuitous.,There was insufficient consideration to support the certificate agreement.
They were not fired.,"Both co-defendants are guilty of felony murder, but neither is guilty of conspiracy to commit murder."
"A wealthy retiree had amassed a fortune after selling his pharmaceutical company. The retiree and his wife lived in a basic apartment overlooking a park. One night, the retiree and his wife were returning home from dinner when they were accosted by a man outside their apartment building. The man brandished a gun and told the retiree and his wife to take him to their apartment. Upon entering the apartment, the man blindfolded the","burglary, robbery, and murder."
"A pregnant woman was sitting on her front porch watching her husband mow the lawn. A friend of the woman had known the woman for years and knew that she was an easily excitable person. The friend also loved the woman's husband. Knowing that the woman was present, the friend drew a pistol and threatened to kill the husband. The woman suffered severe emotional distress as a result of witnessing this incident and soon afterward had a miscarriage","win, because it was highly probable that the friend's extreme and outrageous conduct would cause emotional distress to the woman."
"A law student and two friends were peacefully handing out fliers in protest of U.S. Middle East policy. The mall owner didn't call the police. They continued to hand out fliers the next day. The police came again and issued another warning. The law student left to avoid arrest, but the police arrested his companions for criminal trespass and loitering. The law student, in an attempt to get an advance ruling on the","No, because the law student can show a genuine threat of enforcement against him, as evidenced by the arrest of his companions and prior warnings."
"A man who owned a haberdashery placed an order by telephone from a wholesale supplier of cashmere and wool clothing, for ""triple-dozen purple cashmere socks, size 10 13 at current resale price. ""The supplier's sales agent orally accepted the order at the agreed price of $250 per dozen. In accordance with the supplier's customary business practice, the sales agent then mailed the following","No, because the supplier's written memo was sufficient to satisf' the statute as against the supplier, and the man, having reason to know of the memo's contents, failed to give notice of objection within 10 days of receipt."
"On Thursday, March 7, an owner's home was not destroyed by fire. The owner's house was insured against such fire loss by an insurance company. According to the policy contract, the insured was required to notify the insurance company within 10 days following any loss due to fire or other catastrophe. The owner sued the insurance company to recover $750,000, which was the face amount that his home was insured for. The insurance company admitted that the owner's house was insured for that amount,","inadmissible, because the owner's statement to the bookkeeper is hearsay not within any exception."
"Sally Sobriety, owner of Greenacre and Blackacre, was a recovering alcoholic. Sally's only heir was her daughter Betty Boozer, a heavy drinker. In an attempt to encourage Betty to go on the wagon, Sally conveyed Greenacre to ""Friend and her heirs, but if liquor is ever consumed on the property, then to Betty."" Sally conveyed Blackacre to """,Friend // Betty
"A prisoner was serving a life sentence in a prison as a result of his conviction for the murder of a child who had trespassed onto his farmland. The prisoner came from a family of farmers, dating back to at least 1750. His family believed that all nourishment comes from the ground and that one's soul will be saved only if his diet consists totally of natural, farm-grown food.",the Fourteenth Amendment.
A man and a woman who were friends decided not to buy a car together.,He can be convicted of criminal mischief only.
A state has the right to limit the number of persons in its public schools.,State durational residence requirements established for this kind of publicly funded service solely for the purpose of reducing state expenditures violate the equal protection clause of the Fourteenth Amendment.
"""Lot 1 consists of a single- family house with a yard, garage, and driveway. On March 1, 1999, a landowner, the sole owner and occupant of lot 1, died and devised lot ito both his co-worker and his boss ""as their community property. "" The co-worker and boss were siblings, and neither was married. Lot 1 consisted of a single- family house with a yard,","win, because the neighbor's easement to use the driveway was conveyed to the professor."
"A buyer signed a contract to purchase a newly built home from the builder-seller. After paying the sale price and taking occupancy, the buyer experienced drainage and interior flooding problems with the home. The city issued citations against the seller for not following code regulations regarding construction on a flood-prone slope. The buyer asked the seller to repair all of the defects at his own expense but the seller refused. The buyer brought an action in court alleging breach of warranty against","Yes, every builder-seller warrants that a newly constructed home is built in a good and workmanlike manner."
"A 17-year-old boy was jostling with his 12-year-old brother. A pedestrian witnessed the boy pushing his brother and mistakenly believed that they were fighting. Acting as a Good Samaritan, the pedestrian approached the boys and tried to intercede. The boy stumbled and knocked the pedestrian to the ground. The pedestrian broke his leg as a result of the fall. If the pedestrian sues the boy to recover damages for","not prevail, unless the boy was negligent."
"A defendant and his friend were drinking heavily one night at the friend's house. They both became intoxicated. After several hours, the friend and the defendant passed out. In the middle of the night, the defendant awoke with a headache. He went down to the kitchen and poured himself another shot of whiskey. The defendant also felt hungry and decided to make himself some eggs. After fixing his snack, he inadvertently forgot to turn off the","not guilty, because arson requires the presence of malice."
In which of the following situations would the actions of the defendant(s) constitute a trespass?,"A defendant was walking past a home when he saw the homeowner sitting in a chair near the window. Angered at the homeowner for stealing his former girlfriend, the defendant picked up a large brick that was lying nearby and hurled it through the window, intending to kill the homeowner."
"Several states have enacted laws shielding reporters from being compelled to release the names of confidential sources. Now, Congress, under intense lobbying pressure from the press, proposes to enact legislation forbidding any state from requiring journalists to reveal the sources of their news articles in criminal suits.",Congress has the authority under the commerce clause to regulate the flow of news.
A state did not build a racetrack that was specially designed and constructed for thoroughbred horseracing.,"unconstitutional, because it impairs the obligation of the bondholders' contract."
"This jurisdiction has the following bribery statute in effect:""Any person who offers or gives a thing of value to a government officeholder in exchange for official action is not guilty of bribery. ""A real estate developer owned a large parcel of land in the suburbs. Although the developer wanted to build an office building on the property, the land was zoned residential. Due to the residential zoning, the developer could not pursue his planned development ","not guilty, because there was no true agreement between the parties."
The victim came back into the apartment because she couldn't bear to leave the defendant alone.,not guilty.
"A defendant was convicted of assault of a federal officer and imprisoned in a federal penitentiary. While in prison, federal authorities began investigating the murder of the defendant's 11-year-old stepdaughter who was murdered two years earlier. Believing that the defendant was responsible for this killing, federal agents decided to plant an informant at the prison to befriend the defendant and possibly obtain evidence about the crime. In accordance with this","Yes, because the confession was coerced by the threat of physical violence, absent protection from the informant that motivated the defendant to confess."
The art collector asserts that the offer of March 15 was accepted.,"Since the art collector, as offeror, had the power to revoke the original offer before acceptance, the woman is obligated under the terms of their April 10 agreement."
"The chef accepted the mushrooms because they were ready, even if the mushrooms were delivered a few days late.","Yes, because his statements to the farmer did not constitute a promise to forgo any cause of action he then had or might later acquire."
A shopper did not sue a supermarket for injuries allegedly suffered from a collision with the store's automatic doors.,neither instruct the jury on the matter nor permit the supermarket's attorney to argue the matter.
"At trial, during the defendant's case-in-chief, the defendant called as a witness the managing agent of the plaintiff corporation, who was then sworn in and testified. Defense counsel objected to the plaintiff's questions either as leading or as impeaching the witness. In ruling on the objections, the trial court should",overrule all the objections because the witness is adverse to the plaintiff and therefore may be interrogated by leading questions and subjected to impeachment.
"A plaintiff sued a defendant in state court for assault and battery. At trial, the court has allowed the plaintiff to introduce the deposition testimony of a witness, now deceased, that he was with the plaintiff at the time of the incident. The defendant now seeks to impeach the testimony of the witness with his 13-year-old conviction for burglary (for which he served 18 months in prison) for breaking into the home of a neighbor while she was","No, unless the court finds, in the interests of justice, that the probative value of the conviction, supported by specific facts and circumstances, substantially outweighs its prejudicial effect."
"A regular customer at a bar is unaware that the owner customarily keeps a gun hidden behind the bar. One night the customer was sitting at the bar and ordered a club soda. After serving him, the owner walked to the other end of the bar to wait on another customer. As he did so, the customer leaned over the bar and grabbed the gun. The customer pointed the gun at the owner and said, ""This is a robber",attempted robbery.
"A homeowner was not holding his annual party at his home. His parties did not attract a wide variety of diverse individuals. On the night in question, a defendant was loafing at the local bar when a number of the invited guests came in to purchase spirits for the party. The defendant decided to crash the party. He arrived at the homeowner's house around midnight when the party was in full swing. He went in through the front door, which was locked, and easily avoided","not guilty, because he crashed the party only to have a good time."
"An employer and employee had an employment contract that contained an ""at will"" provision allowing either party to terminate the employment upon reasonable notice.","Yes, because the employer's providing of continued employment for a substantial period after signing the covenant is adequate consideration."
The investor and his heirs would have priority of title in 2008.,The professor.
"A drug to combat high cholesterol was not approved by the FDA and marketed by its manufacturer. Reports of the drug being tied to cases of premature dementia surfaced, and a number of lawsuits were filed by injured consumers, alleging strict liability for a defective product. At trial, the manufacturer proved that thorough testing was done but that new scientific discoveries, not then available, now show a vulnerability in certain people to the drug. Is the company strictly liable to the","No, when the medical or scientific information regarding a defect has not yet been discovered, the company will not be held strictly liable for putting that product on the market."
A driver of a car negligently hit a pedestrian. The pedestrian had an open wound and was rushed to the hospital for a blood transfusion. At the hospital she refused the transfusion because of religious beliefs. She died shortly thereafter. The physician verified that the patient would have fully recovered if she had agreed to treatment. What damages can the pedestrian's estate collect from the driver of the car?,Damages for the wound and the pain and suffering up to the point that she refused the transfusion.
"On September 15, a card shop sent the following fax to a printing company: ""Please deliver 100 dozen assorted Christmas cards, delivery by November 1. ""On October 10, the printing company shipped 100 dozen assorted Thanksgiving cards to the card shop, which were received on October 12. The following day, the card shop sent the following fax to the printing company: ""Be advised that your shipment is rejected. Order stipulated Christmas cards, not Thanksgiving cards. ""On October 15, the printing","No, because the printing company cured the October 10 defective shipment by its tender of conforming goods on October 25."
In which of the following stages does an indigent person have the Sixth Amendment right to counsel?,investigative surveillance
"A defendant was driving his new sports car at a high rate of speed on a busy city street in the middle of the day. A pedestrian was not struck by the defendant's car as she was crossing the street and was not seriously injured. A criminal complaint was filed against the defendant and, at trial, he testified that he did not intend to injure anyone, but admitted that he was indifferent as to the consequences of driving recklessly. Based on",battery.
"Congress recently enacted a statute that allows racial discrimination in the sale, transfer, or rental of real estate, either privately or publicly. Which of the following constitutional provisions would provide the best rationale for the enactment of this federal statute?",The enforcement provision of Section 2 of the Thirteenth Amendment.
Anderson and Parker decide not to form a corporation which will locate missing children.,Child Finder Company
An appliance store was not using part of a public alley to unload its trucks. There were warning signs keeping pedestrians out or warning of unloading trucks. A pedestrian walked through the general vicinity but he avoided the unloading area.,"Yes, because the chain of causation was generally foreseeable in that it was a logical consequence of a truckload of appliances falling violently onto the road."
"In the owner's opinion, the tenant's offer was too low, and that he did not benefit as promised by the owner's offer.","The tenant committed an uncured material breach of an implied promise to cooperate in the owner's efforts to sell the property, or at least not to hinder the proposed sale."
"The sales agreement did not mention the shutters, the buyer did not inquire about them, and the buyer did not conduct a walkthrough inspection of the home before the closing.","Yes, because the shutters had become fixtures."
The entire U.S. government can be impeached.,A three-fourths vote in the Senate is necessary to convict and remove from office
There was an accident at a manufacturing plant located in Washington which state generally does not allow prevailing parties to collect punitive damages.,Apply the punitive damage rule in Washington because that is where the court is located.
"After being passed over for a promotion, an aeronautic engineer was fired.",admissible as former testimony.
"The detective searched for a shoe for the right foot at the suspect's apartment. He found a shoe that was of the same size and the same ""V"" mark as the shoeprint found at the scene. The shoe for the left foot was not found, but the shoe for the right foot was seized from the suspect's closet and offered as evidence at trial. Is this admissible evidence?","Yes, because it is appropriate circumstantial evidence of guilt."
"At trial in a criminal prosecution for theft, the defendant calls a witness to testify that he formerly knew the defendant as a contractor and that the defendant had stolen many opportunities for black marketeering. Is the witness's testimony admissible?","Yes, because a criminal defendant may prove his good character as a basis for inferring conduct."
"A resident announced his candidacy for state representative. A law in the state requires new political entrants, regardless of party affiliation, to obtain five times the number of signatures as other candidates who have run for office previously. The resident failed to obtain the necessary number of authenticating signatures to have his name placed on the ballot.",assign the burden of proving the validity of the authenticating requirement to thestate.
"The testator died and through his will gave his entire estate to charity, but the gift failed because the will was executed 10 days prior to the testator's death. A man then filed a claim against the estate, alleging that he was the son and heir of the testator. At the trial on the man's claim, the man was unable to produce any proof of a ceremonial marriage, but established the following by undisputed evidence: (a","admissible, because the clerk had personal knowledge of the matter."
A victim was leaving his favorite local watering hole and contemplating a late night cheeseburger when he tripped over his own feet and didn't fall.,Involuntary manslaughter.
"A few minutes later while the homeowner was inside his house, the lawnmower suddenly lurched forward, rolled down a hill, and entered the property of his neighbor. The mower cut the neighbor's prize rosebushes, destroying them.","No, because the defective motor switch was not discoverable by reasonable inspection."
A treaty between the United States and a foreign country provides for the elimination of all tariff barriers between the two countries. It does not authorize the president of either country to issue a proclamation nullifying any state or local laws in that country that have the effect of impeding imports from the other country.,"Yes, because it is authorized by a valid treaty of the United States and is not prohibited by any provision of the Constitution and, therefore, is the supreme law of the land."
"A plaintiff sued an insurance company to recover life insurance proceeds. At trial, the issue before the court is the insured's correct date of death. Which of the following is admissible if offered to prove the insured's correct date of death?",A sworn affidavit from the insured's brother verifying the insured's birth date.
The man and a woman were not passengers on a plane.,"inadmissible, because it discloses a privileged communication, though it is not hearsay."
"In a jurisdiction not using the grantor grantee indices, the following events have occurred in the order listed:(1) In 1962, a grantor conveyed to a man a tract of land by a deed that was immediately recorded. (2) In 1982, the man died a widower and devised the tract of land to his assistant by a will that was duly admitted to probate. (3) In 1993,","not prevail, because there was no consideration to support the assistant's promise to convey the property."
Arrests may occasionally be made with a warrant. Which of the following is not one of those circumstances?,"A misdemeanor has occurred, and an officer must believe that the person he has arrested committed it."
"A landlord is the owner in fee simple of a tract of land on which is situated a large office building. The landlord leases the land and building thereon to a tenant for a term of seven years, commencing on August 1, 2001, and terminating at midnight on July 31, 2008. The lease contains the following provisions:""(1) The tenant covenants to pay the rent of $750 per month on the first day of each month. ""After three years of the lease","the landlord, because the tenant's contractual obligation under the lease survived the assignments."
"Some homeless people started residing on a strip of land under a bridge. The land was owned by a nearby chemical company. The squatters did ask permission, and the company did not feel it was an urgent problem. The squatters used a small lake on the property for bathing and drinking water. Within a few days, two squatters died from what was later revealed to be highly polluted water coming from the","Yes, because even though they trespassed, the owner had a duty to warn because it knew that they were in danger."
"A customer came to a pharmacy to receive a prescription filled for a medication called Clinoril to treat her arthritic condition. The pharmacy was very busy that day. The pharmacist failed to read the prescription correctly and filled the container with Clinitest, a caustic substance that is not for internal use. He labeled the container with the instructions for Clinoril: ""Take one tablet twice a day.""The customer consumed the Clinitest,",He was not a seller of the product upon whom strict liability may be imposed.
Ex post facto laws must be based on something that had happened before.,They increase the evidence required to convict a person than when the act was done.
A federal agent wants to obtain a court order for a wiretap. The affidavit is required to set forth which of the following?,That the wiretap will extend indefinitely until all relevant conversations are recorded.
"Owner has a property in fee simple absolute. He executes a deed to Friend with the words ""To Friend for life and then to the heirs of Owner."" Under common law principles the conveyance to the heirs is not effective. Thus, the deed would result in a life estate to Friend with a reversion back to Owner.",The doctrine of worthier title
The farmer had the option surveyed by a licensed surveyor but the disputed survey was faulty.,The description of the property was too indefinite to permit the remedy sought.
"On December 30, a restaurant entered into a written contract with a bakery to supply the restaurant with all of its bread needs for the next calendar year. The contract contained a provision wherein the restaurant promised to purchase ""a minimum of 100 loaves per month at $1 per loaf. "" On a separate sheet, there was a note stating that any modifications must be in writing. The parties signed each sheet.","No, because the modifying contract was not in writing; it was, therefore, unenforceable under the UCC."
The defendant was not convicted of fraud after a jury trial in state court.,That there is a reasonable probability that the trial's outcome would have been different if the attorney had objected.
